,value
_fit_time_mean,0.1488359785079956
_fit_time_stdev,0.00824801581189378
_fit_time_mci,"(0.1464681201781017, 0.1488359785079956, 0.1512038368378895)"
_score_time_mean,0.04081018447875977
_score_time_stdev,0.0054396192215211345
_score_time_mci,"(0.03924856675409972, 0.04081018447875977, 0.042371802203419816)"
_accuracy_mean,0.8024000000000001
_accuracy_stdev,0.022720915474513766
_accuracy_mci,"(0.795877230136785, 0.8024000000000001, 0.8089227698632152)"
_precision_mean,0.8047015941490764
_precision_stdev,0.022833678602539632
_precision_mci,"(0.798146452001655, 0.8047015941490764, 0.8112567362964977)"
_recall_mean,0.9943846837597146
_recall_stdev,0.0055986198171288195
_recall_mci,"(0.9927774197980256, 0.9943846837597146, 0.9959919477214035)"
_f1_micro_mean,0.8024
_f1_micro_stdev,0.022720915474513752
_f1_micro_mci,"(0.7958772301367849, 0.8024, 0.8089227698632151)"
_f1_macro_mean,0.47666678204011
_f1_macro_stdev,0.028950170128392058
_f1_macro_mci,"(0.46835570419378625, 0.47666678204011, 0.4849778598864337)"
_f1_weighted_mean,0.7245221289621804
_f1_weighted_stdev,0.03263299486522435
_f1_weighted_mci,"(0.7151537777752706, 0.7245221289621804, 0.7338904801490902)"
